id,name,lat,lng
180,Casablanca,33.5992,-7.62
181,Langfang,39.5196,116.7006
182,Zhangjiakou,40.8108,114.8811
183,Chifeng,42.2663,118.9223
184,Linfen,36.0812,111.5087
185,Jiangguanchi,34.0244,113.8201
186,Kabul,34.5328,69.1658
187,Phoenix,33.5722,-112.0891
188,Luzhou,28.8918,105.4409
189,Taiyuan,37.8733,112.5425
190,Zhaoqing,23.05,112.4667
191,Xiaoxita,30.7083,111.2803
192,Xiamen,24.4797,118.0819
193,Fuzhou,27.9814,116.3577
194,Liuzhou,24.3264,109.4281
195,Zhuzhou,27.8407,113.1469
196,Amman,31.95,35.9333
197,Jeddah,21.5428,39.1728
198,Chuzhou,32.3062,118.3115
199,Loudi,27.7378,111.9974
200,Deyang,31.1289,104.395
201,Qingyuan,23.6842,113.0507
202,Kano,12,8.5167
203,Wuhu,31.334,118.3622
204,Seattle,47.6211,-122.3244
205,Yokohama,35.4333,139.6333
206,Binzhou,37.3806,118.0125
207,Baojishi,34.3609,107.1751
208,Zaozhuang,34.8667,117.55
209,Neijiang,29.5872,105.0635
210,Baicheng,23.901,106.6194
211,Berlin,52.5167,13.3833
212,Anshan,41.1066,122.9895
213,Lanzhou,36.0617,103.8318
214,Puyang,35.7639,115.03
215,San Francisco,37.7562,-122.443
216,Jiaozuo,35.229,113.2304
217,Hechi,24.6928,108.085
218,Montreal,45.5089,-73.5617
219,Detroit,42.3834,-83.1024
220,Chengde,40.9739,117.9322
221,Busan,35.1,129.0403
222,Algiers,36.7764,3.0586
223,Hanzhong,33.0794,107.026
224,Shiyan,32.6351,110.7755
225,Lucknow,26.847,80.947
226,Siping,43.1715,124.3644
227,Yulinshi,38.2655,109.7388
228,Changzhi,36.1953,113.097
229,Qinzhou,21.95,108.6167
230,Bazhou,31.8576,106.7559
231,Qincheng,34.5809,105.7311
232,Zhongshan,22.5333,113.35
233,Suining,30.5098,105.5737
234,Leshan,29.5854,103.7575
235,San Diego,32.8312,-117.1225
236,Faisalabad,31.418,73.079
237,Guang'an,30.4673,106.6336
238,Tongren,27.7233,109.1885
239,Bengbu,32.9354,117.3531
240,Santa Cruz,-17.7892,-63.1975
241,Qinhuangdao,39.9398,119.5881
242,Tongliao,43.6172,122.264
243,Jinzhou,41.1144,121.1292
244,Zhenjiang,32.2109,119.4551
245,Urumqi,43.8225,87.6125
246,Heyuan,23.7503,114.6923
247,Jaipur,26.9167,75.8667
248,Xinzhou,38.4178,112.7233
249,Wuzhou,23.4833,111.3167
250,Addis Ababa,9.0272,38.7369
251,Chaoyang,41.5757,120.4486
252,Brasilia,-15.7939,-47.8828
253,Mashhad,36.3069,59.6042
254,Shaoguan,24.8011,113.5927
255,Kuwait name,29.375,47.98
256,Shanwei,22.7664,115.3331
257,Quezon name,14.6333,121.0333
258,Minneapolis,44.9635,-93.2678
259,Kyiv,50.45,30.5236
260,Sanaa,15.35,44.2
261,Meishan,30.0575,103.8381
262,Guatemala name,14.6099,-90.5252
263,Incheon,37.4639,126.6486
264,Ningde,26.6617,119.5228
265,Tampa,27.9942,-82.4451
266,Daqing,46.5979,125.008
267,Putian,25.4394,119.0103
268,Bandung,-6.95,107.5667
269,Surabaya,-7.2458,112.7378
270,Salvador,-12.9708,-38.5108
271,Denver,39.7621,-104.8759
272,Rome,41.8931,12.4828
273,La Paz,-16.4942,-68.1475
274,Hohhot,40.8151,111.6629
275,Xiangtan,27.8431,112.9228
276,Pyongyang,39.03,125.73
277,Taichung,24.15,120.6667
278,Weihai,37.5,122.1
279,Rizhao,35.4164,119.4331
280,Mudanjiang,44.5861,129.5997
281,Kaohsiung,22.6167,120.3
282,Guayaquil,-2.19,-79.8875
283,Tieling,42.2841,123.8365
284,Cawnpore,26.4725,80.3311
285,Dingxi,35.5806,104.6263
286,Taipei,25.0478,121.5319
287,Nanping,26.6448,118.1728
288,Zigong,29.3498,104.7645
289,Chaozhou,23.67,116.63
290,Baotou,40.6562,109.8345
291,Gulou,26.0819,119.2981
292,Longyan,25.0881,117.0244
293,Ankang,32.6877,109.0235
294,Baoshan,25.1211,99.169
295,Huludao,40.7094,120.8378
296,Antananarivo,-18.9386,47.5214
297,Yanjiang,30.1256,104.6397
298,Chattogram,22.335,91.8325
299,Santo Domingo,18.4764,-69.8933
300,Sanming,26.2658,117.6302
301,Longba,33.535,105.349
302,Brooklyn,40.6501,-73.9496
303,Yangjiang,21.8556,111.9627
304,Jiamusi,46.8081,130.3653
305,Ibadan,7.3964,3.9167
306,Luohe,33.583,114.0109
307,Lincang,23.8864,100.0871
308,Medellin,6.2447,-75.5748
309,Xuanzhou,30.9475,118.7518
310,Yunfu,22.9242,112.0353
311,Dubai,25.2697,55.3094
312,Mirzapur,25.15,82.58
313,Tashkent,41.3,69.2667
314,Guangyuan,32.4353,105.8398
315,Cali,3.44,-76.5197
316,Huangshi,30.2018,115.0326
317,Ouagadougou,12.3686,-1.5275
318,Daegu,35.8667,128.6
319,Fortaleza,-3.7275,-38.5275
320,Yaounde,3.8578,11.5181
321,Douala,4.05,9.7
322,Jilin,43.8519,126.5481
323,Dandong,40.1167,124.3833
324,Lianshan,40.7523,120.828
325,Yingkou,40.6653,122.2297
326,Nagpur,21.1539,79.0831
327,Omdurman,15.6167,32.48
328,Bekasi,-6.2333,107
329,Ghaziabad,28.6667,77.4167
330,Yuxi,24.3495,102.5432
331,Brisbane,-27.4678,153.0281
332,Anshun,26.2456,105.934
333,Depok,-6.394,106.8225
334,Shangzhou,33.868,109.9244
335,Huainan,32.4831,117.0164
336,Kuaidamao,41.7302,125.9471
337,Accra,5.6037,-0.187
